Gene,"Maximum likelihood (kon, koff, ksyn)","Burst frequency from Profile Likelihood (estimate, and lower and upper confidence interval)","Burst size from Profile Likelihood (point estimate, and lower and upper confidence interval)",Mean expression
0610007P14Rik,[  1.2915914  356.01218176 502.19203139],[1.2915914  0.9911122  1.71569515],[1.4106035  1.04101333 1.89326833],1.82
0610009B22Rik,[0.62893763 1.26663669 9.19825056],[0.62893763 0.45361296 0.87760908],[ 7.26194861  4.44809397 11.60177839],3.05
0610010F05Rik,[ 0.34582821 21.23792178 21.7077245 ],[0.01729141        nan        nan],[4.05782012        nan        nan],0.35
1110004E09Rik,[0.25737082 0.35585992 5.50127896],[0.25737082 0.15360678 0.40086106],[15.45911381  8.64220101 29.61150992],2.31
1110007C09Rik,[ 0.12548747  1.42390799 10.85534996],[0.12548747 0.08431719 0.18255058],[ 7.62363161  4.72396796 12.41868522],0.88
1110008L16Rik,[0.65948228 1.58767604 8.00533924],[0.65948228 0.44914096 0.97608161],[5.04217426 2.81928821 8.77018067],2.35
1110012L19Rik,[ 1.11856466 73.59383047 95.16063712],[1.11856466 0.86219934 1.53265869],[1.29305183 0.89904841 1.7488933 ],1.42
1110032A03Rik,[0.11258722 1.68525837 1.86936878],[4.16333634e-17            nan            nan],[1.10924759        nan        nan],0.12
1110037F02Rik,[0.71117614 2.04244584 7.19109453],[0.71117614 0.41037384 1.22270919],[3.52082507 1.54614186 7.882525  ],1.86
1110038B12Rik,[  1.99450962 112.05610421 226.08397397],[1.99450962 1.35543485 2.52575388],[2.01759624 1.6019644  2.60608939],3.95
1110038F14Rik,[ 0.83021596 11.76598333 31.49327773],[0.83021596 0.58498606 1.14019889],[2.67663797 1.81211431 4.4742695 ],2.08
1110051M20Rik,[ 0.21580007  7.62897586 27.21839724],[5.55111512e-17            nan            nan],[13.30776549         nan         nan],0.75
1110057K04Rik,[  0.44026527 102.17301691 211.58465022],[0.46227853 0.35123794 0.62615595],[1.94659586 1.40039781 2.78500827],0.91
1110058L19Rik,[0.03355299 0.08479904 2.06385286],[6.9388939e-18           nan           nan],[24.33816201         nan         nan],0.59
1110059E24Rik,[0.39038547 0.37793585 3.08691778],[1.11022302e-16            nan            nan],[8.16783525        nan        nan],1.57
1110059G10Rik,[0.01913311 0.32781139 4.01634088],[0.00095666        nan        nan],[12.25198692         nan         nan],0.22
1190005I06Rik,[0.42570401 3.42750193 5.15991345],[0.42570401 0.16698334 0.80898282],[1.50544436 0.68007032 4.96141715],0.57
1300002E11Rik,[ 0.90026164 16.15373371 24.84033892],[0.90026164 0.55767312 1.31465771],[1.53774597 0.98876983 3.08731813],1.31
1300002K09Rik,[3.03019868e-02 1.25256377e+01 3.91746597e+01],[0.0015151       nan       nan],[3.22138485 1.29801493 9.39070198],0.09
1300017J02Rik,[5.58137301e-03 7.99017592e+00 4.41966999e+01],[0.00027907        nan        nan],[5.69732149        nan        nan],0.03
1500009L16Rik,[0.11169997 0.20297243 2.36009413],[1.38777878e-17            nan            nan],[11.62765881         nan         nan],0.84
1500011B03Rik,[  0.45687165  75.67870419 155.91035199],[0.45687165 0.34430186 0.61218555],[2.06016149 1.47206292 2.91480765],0.94
1500012F01Rik,[1.04317954 1.09707288 9.84432626],[1.04317954 0.74446693 1.49821735],[ 8.97326553  5.05670929 15.05885963],4.8
1500015A07Rik,[0.07607681 1.594179   4.49793613],[0.07607681 0.02232643 0.16202378],[ 2.82147496  1.15407073 10.43490529],0.2
1600012H06Rik,[ 0.1915198 16.8307923 45.3839211],[0.20109578 0.15069648 0.29259183],[2.69648156 1.57581906 4.42251627],0.51
1600014C10Rik,[0.11409673 1.6573349  3.30970361],[0.00570484        nan        nan],[1.99700351        nan        nan],0.21
1600020E01Rik,[0.3192466  0.47674199 3.13863157],[0.3192466  0.10519065 0.6157719 ],[ 6.58350144  2.72754693 25.73897973],1.26
1700001L05Rik,[0.10064075 0.31745734 4.83441773],[0.10064075 0.04964933 0.1697911 ],[15.22855871  8.15057156 33.67302579],1.16
1700017B05Rik,[0.16452865 0.48399483 3.77490474],[0.16452865 0.0615943  0.30067153],[ 7.79947321  3.71415622 24.00540014],0.96
1700020I14Rik,[  0.88775675  62.87873534 126.15291856],[0.88775675 0.60365046 1.18433927],[2.00628906 1.48574907 2.69244085],1.76
1700021F05Rik,[ 0.62409952  1.82881027 10.73217182],[0.62409952 0.46227542 0.85451174],[5.86838995 3.72972783 8.94479981],2.73
1700025G04Rik,[0.16219688 0.49270294 3.14888561],[0.16219688 0.03973194 0.31839742],[6.39104285        nan        nan],0.78
1700028J19Rik,[3.47633312e-02 2.41803854e+01 5.76446482e+01],[0.03476333 0.01489853 0.07432185],[2.45546076 0.97458909 7.47099114],0.08
1700030C10Rik,[1.02060603e-02 3.69387209e+01 1.87329654e+02],[0.01020606 0.00271551 0.02643319],[5.52778541        nan        nan],0.05
1700030J22Rik,[ 0.06115764 15.59615521 16.60383426],[0.00305788        nan        nan],[4.22650462        nan        nan],0.06
1700030K09Rik,[0.16311764 1.55532827 5.62829309],[0.16311764 0.08305198 0.29772466],[3.61871715 1.73512072 7.97227076],0.53
1700037H04Rik,[0.56410314 1.79150803 4.26708405],[0.56410314 0.24612035 1.12533592],[2.38183919 0.90705547 7.35481507],1.02
1700061G19Rik,[  0.71453434 100.85502623 194.19458586],[0.78598777 0.56722859 0.93045994],[1.92548248 1.40350583 2.61898924],1.37
1700086O06Rik,[0.02029598 0.27170564 1.08879588],[1.04083409e-17            nan            nan],[4.96900566        nan        nan],0.08
1700123M08Rik,[8.10351853e-03 1.11982873e+01 2.85031190e+01],[0.00850869 0.00178138 0.03962356],[2.54531056        nan        nan],0.02
1700123O20Rik,[0.61948267 2.8862067  8.3643776 ],[0.61948267 0.38908442 1.00228642],[2.89805218 1.53274249 5.58881239],1.48
1810009A15Rik,[ 1.31601398  2.73491827 35.25270777],[1.31601398 1.05629545 1.66205658],[12.88985785  8.94807545 17.79815264],11.45
1810013L24Rik,[0.96205535 2.67865534 8.40055325],[0.96205535 0.62612672 1.59363108],[3.13610831 1.41646222 5.97802925],2.22
1810014B01Rik,[1.97178391e-02 1.04263845e+01 2.58640201e+01],[1.04083409e-17            nan            nan],[2.55505068        nan        nan],0.05
1810024B03Rik,[ 0.17732592 22.45246153 29.79341521],[5.55111512e-17            nan            nan],[1.32695541 0.72333623 2.48897669],0.23
1810026J23Rik,[ 0.47031496  4.18669159 13.31877442],[0.47031496 0.32792726 0.69658155],[3.18121699 1.93447241 5.17427228],1.35
1810030O07Rik,[ 2.6560695  24.40047643 32.14931783],[2.92167645 1.69176148 4.08296712],[0.92229849        nan        nan],3.16
1810032O08Rik,[0.70964067 2.16315741 3.83172191],[0.70964067 0.276342   1.56714968],[1.77135602 0.60161752 6.59723602],0.95
1810037I17Rik,[  2.56873883  18.82059526 128.04245064],[2.56873883 1.97255884 3.36419073],[ 6.80331567  4.58979651 10.48957249],15.38
1810043G02Rik,[0.2997457  1.13298473 1.32230198],[0.2997457  0.03908981 1.1892451 ],[1.16709603        nan        nan],0.28
1810043H04Rik,[  0.74593891 144.5194381  319.50085302],[0.74593891 0.58456878 0.97833032],[2.14445774 1.61288323 2.91064105],1.64
1810058I24Rik,[0.80183244 0.96489829 9.62467849],[0.80183244 0.58230893 1.10857261],[ 9.97481142  6.14986926 15.96358303],4.37
2010012O05Rik,[  0.3455948  141.41611629 256.94027988],[0.3455948  0.27711829 0.48969121],[1.81690946 1.21679308 2.71885643],0.63
2010107E04Rik,[ 1.70513146  1.76336071 30.94515499],[1.70513146 1.32040736 2.23039923],[17.54896473 11.41598506 25.78916846],15.21
2010107G23Rik,[ 0.18586516  8.64014921 16.35202371],[0.18586516 0.09964668 0.30442901],[1.89256265 1.05997672 4.00597024],0.34
2200002D01Rik,[ 0.08462864  8.09421529 44.27400137],[0.08886007 0.06242798 0.11837843],[5.30573747 3.30803507 9.33138289],0.46
2210013O21Rik,[0.2247262  0.39259543 2.26293878],[0.01123631        nan        nan],[5.76404769        nan        nan],0.82
2210015D19Rik,[0.69881319 4.46120463 5.1635208 ],[0.69881319 0.32911937 1.36370155],[1.15742747 0.5016056  3.26972876],0.7
