Gene,"Maximum likelihood (kon, koff, ksyn)","Burst frequency from Profile Likelihood (estimate, and lower and upper confidence interval)","Burst size from Profile Likelihood (point estimate, and lower and upper confidence interval)",Mean expression
0610007P14Rik,[ 1.0427241   6.11123278 13.12846651],[1.0427241  0.67033022 1.65138972],[2.14825175 1.15496355 4.19066797],1.91
0610009B22Rik,[ 0.68750667  2.93398033 15.19091693],[0.68750667 0.51020627 0.94249947],[5.17757969 3.26988793 7.9075878 ],2.88
0610012G03Rik,[ 0.07615238  0.55225568 30.16382454],[0.07615238 0.03715842 0.14418434],[ 54.61931035  23.01483253 134.47823461],3.66
0610031J06Rik,[  3.53675429 211.00833334 377.51205703],[2.82940343 1.90195691 4.49232265],[1.78908601 1.38865988 2.28789731],6.22
1110004E09Rik,[0.14070869 0.66150582 8.99383602],[0.10553152 0.05632796 0.18937627],[20.52996669  9.57765083 41.81570777],1.58
1110007C09Rik,[0.10296972 0.54526699 3.41119043],[0.10296972 0.02694999 0.19575263],[6.25600028        nan        nan],0.54
1110008L16Rik,[  1.11161428  84.20181166 204.2512443 ],[1.11161428 0.89374659 1.41816734],[2.42573456 1.88276989 3.11370293],2.66
1110032A03Rik,[0.01298364 0.15345276 1.03435522],[3.46944695e-18            nan            nan],[4.92059793        nan        nan],0.08
1110037F02Rik,[0.39914551 0.70742474 5.53122775],[0.39914551 0.27050833 0.58306443],[ 7.81882149  4.66151117 13.09000496],2.0
1110038B12Rik,[  3.00939784 430.36533589 566.95869422],[3.00939784 2.33532251 3.96718933],[1.31738931 0.98962092 1.72010797],3.94
1110038F14Rik,[1.00509275 1.36883242 4.3426994 ],[1.00509275 0.44324337 2.38286496],[ 3.17255738  0.78223542 11.10459322],1.84
1110051M20Rik,[0.03604828 0.30433247 3.87481218],[0.03604828 0.0077411  0.07499784],[12.73216828         nan         nan],0.41
1110057K04Rik,[0.27825847 1.19778932 6.11152358],[0.27825847 0.17598349 0.4237373 ],[5.10233602 2.93220709 9.11366758],1.15
1110058L19Rik,[0.45004677 1.35034832 6.86197448],[0.45004677 0.30958468 0.65803066],[5.08163293 2.99296414 8.40735773],1.72
1110059E24Rik,[ 1.03693888 34.96153771 55.52217061],[1.03693888 0.6077633  1.4377842 ],[1.58809292 1.0984723  3.64462429],1.6
1190007I07Rik,[  0.99320706 193.79548287 247.31868821],[0.99320706 0.76165173 1.38594678],[1.23789845 0.8902906  1.7151615 ],1.26
1300002E11Rik,[0.81531263 4.2696662  5.54509953],[0.81531263 0.35633984 1.61384697],[1.29871968 0.54829511 4.24009805],0.89
1300002K09Rik,[0.00353599 0.10556066 1.06561026],[0.0001768       nan       nan],[34.01936294         nan         nan],0.03
1500009L16Rik,[0.12389131 0.45775819 2.37587147],[0.00619457        nan        nan],[5.1902326       nan       nan],0.51
1500011B03Rik,[0.37681499 1.05146933 8.83979206],[0.37681499 0.27304923 0.51716104],[ 8.40708505  5.44403874 12.93798035],2.33
1500012F01Rik,[  1.5099733  275.26101998 679.56613978],[1.5099733  1.2147882  1.88853378],[2.4688063  1.93678074 3.1436932 ],3.71
1500015A07Rik,[0.02204468 0.45215624 2.08749186],[3.46944695e-18            nan            nan],[4.61674901        nan        nan],0.1
1600012H06Rik,[0.05025273 0.16066491 1.45524794],[0.00251264        nan        nan],[9.05765881        nan        nan],0.35
1700001L05Rik,[0.10493739 1.01070537 6.10073512],[0.10493739 0.06049776 0.17266477],[ 6.03611628  3.27251726 11.43815302],0.57
1700010I14Rik,[0.01566848 0.12139793 1.        ],[3.46944695e-18            nan            nan],[8.23737268        nan        nan],0.11
1700017B05Rik,[0.15085055 0.44829941 2.8927708 ],[8.32667268e-17            nan            nan],[6.45276515        nan        nan],0.73
1700020I14Rik,[0.19299644 0.57568315 4.43409293],[0.19299644 0.10824459 0.31318418],[ 7.70231497  4.18209734 15.36657075],1.11
1700021F05Rik,[ 1.14982775  4.78941628 17.67303111],[1.14982775 0.83088704 1.70105969],[3.69001776 2.0922699  6.04974033],3.42
1700025G04Rik,[ 0.39302766 48.18168842 63.80380135],[0.39302766 0.27075934 0.5941775 ],[1.32423341 0.84666494 2.06973004],0.52
1700030J22Rik,[0.04604848 2.17149919 3.14526831],[0.00230242        nan        nan],[1.44843172        nan        nan],0.07
1700030K09Rik,[0.2409682  3.88846926 4.57188919],[0.01204841        nan        nan],[1.17575552        nan        nan],0.27
1700037H04Rik,[0.70582789 2.18931242 7.39075913],[0.70582789 0.41314521 1.1793125 ],[3.37583575 1.54997911 7.39297001],1.8
1700052N19Rik,[  0.7916048   76.69977745 133.37526375],[0.83118504 0.62320043 1.04752161],[1.73892635 1.29049465 2.34126567],1.36
1700123O20Rik,[0.76574169 1.64753354 5.97047756],[0.76574169 0.49726448 1.22932396],[3.62388833 1.77944218 6.75420773],1.89
1810009A15Rik,[ 1.05289959  1.72965504 33.16784341],[1.05289959 0.85375578 1.30835229],[19.17598754 13.84049339 25.85355192],12.55
1810013L24Rik,[ 0.73521352 13.0376836  41.3586473 ],[0.73521352 0.52478737 0.98362327],[3.17223892 2.17584678 5.20491089],2.21
1810014B01Rik,[ 0.04579425  5.53253911 10.54590568],[0.04579425 0.00877614 0.11461892],[1.90616017        nan        nan],0.09
1810032O08Rik,[ 0.8008838  21.70153758 25.08342272],[0.8008838  0.44094978 1.22522045],[1.1558362  0.72708374 2.69741228],0.89
1810037I17Rik,[  2.08578168  73.99551886 275.37652368],[2.19007076 1.65592393 2.58842363],[3.72152973 2.91825929 4.56348693],7.55
1810043H04Rik,[0.86527952 1.93790844 7.29589826],[0.86527952 0.57508743 1.36034202],[3.76483126 1.88027194 6.87963309],2.25
1810058I24Rik,[  3.10658702  65.73874972 113.36611722],[3.10658702 1.93600912 4.18491263],[1.72449457 1.24718496 3.83298655],5.12
2010107E04Rik,[ 1.9482037   2.52411488 34.87435903],[1.9482037  1.51544638 2.55739739],[13.8164706   8.8231235  20.27926671],15.19
