Gene,"Maximum likelihood (kon, koff, ksyn)","Burst frequency from Profile Likelihood (estimate, and lower and upper confidence interval)","Burst size from Profile Likelihood (point estimate, and lower and upper confidence interval)",Mean expression
1110012L19Rik,[  0.91040438 144.27049348 250.19054999],[0.9559246  0.75355636 1.2344157 ],[1.63012624 1.2348792  2.14076853],1.57
1810030O07Rik,[0.337388   1.1779808  4.85958673],[0.337388   0.21537479 0.5199539 ],[4.12535311 2.32105166 7.32123221],1.08
2210013O21Rik,[  1.33095065  24.92525569 102.11571255],[1.33095065 1.0275037  1.6872607 ],[4.09687723 3.10935329 6.05779863],5.18
2810403D21Rik,[0.06989775 0.93296542 1.89391444],[0.00349489        nan        nan],[2.02999425        nan        nan],0.13
5530601H04Rik,[0.14211809 0.51847243 3.46125209],[0.14211809 0.03916726 0.2767417 ],[6.67586529        nan        nan],0.74
A630033H20Rik,[1.38692097e-02 1.89024851e+01 1.26798752e+02],[0.01386921 0.00627897 0.02863921],[ 6.70804669  2.54339389 26.33633126],0.09
A830080D01Rik,[0.30530036 2.68618516 8.98855811],[0.30530036 0.20360094 0.46590656],[3.34621688 1.9038465  5.62114028],0.92
Abcb7,[ 0.40180966 19.71787618 23.11980423],[0.42190014 0.28534659 0.63395254],[1.13735424 0.71398927 1.79077509],0.46
Abcd1,[ 0.32359826 33.94598676 47.63542654],[0.32359826 0.22513018 0.48100983],[1.40327123 0.90054096 2.20024923],0.45
Acot9,[  1.49475802 145.81865751 917.98877753],[1.49475802 1.28583856 1.76251408],[6.29541372 5.27523716 7.46483785],9.31
Acsl4,[   1.72678888  659.15581502 1078.1544024 ],[1.72678888 1.39631587 2.13630321],[1.6356594  1.29503268 2.06717553],2.82
Akap17b,[ 0.18450023  1.73145661 13.16139777],[0.18450023 0.13631874 0.25111065],[ 7.60134425  5.07136096 11.21398379],1.27
Alg13,[0.32643001 2.12661333 8.36335565],[0.32643001 0.21791262 0.49488756],[3.932711   2.25369435 6.6428106 ],1.11
Amot,[  0.95318451 214.56351421 575.51515601],[0.95318451 0.77831675 1.18223404],[2.68226011 2.1067838  3.39564081],2.55
Ap1s2,[ 0.36897005  3.47649358 10.77840888],[0.36897005 0.23379966 0.56936783],[3.10036783 1.76069994 5.64779214],1.03
Apex2,[ 0.44822746  3.42795589 13.54025442],[0.44822746 0.32338302 0.62440528],[3.94995001 2.5352487  6.16603856],1.57
Apln,[ 0.04601653 12.24479577 32.87002783],[0.04601653 0.02515228 0.08221238],[2.68440801 1.29208924 6.18804909],0.12
Araf,[ 1.24306969  7.52452132 42.13393811],[1.24306969 0.98042051 1.59856316],[5.59955063 3.81639071 8.01513537],5.97
Arhgef6,[9.62086620e-02 6.03197927e+01 1.28364494e+02],[0.09620866 0.07083508 0.02992342],[2.1280659  1.19505598 3.99363036],0.2
Arhgef9,[ 0.37067924 48.65892422 76.61404033],[0.37067924 0.2661337  0.53066758],[1.57451159 1.05237311 2.35268773],0.58
Armcx1,[  1.13160534 554.7337207  735.9355252 ],[1.13160534 1.05901401 1.48633147],[1.32664646 0.99081527 1.75632742],1.5
Armcx2,[ 0.86218077  2.1160997  19.26651262],[0.86218077 0.67956987 1.10725218],[ 9.1047282   6.23310589 12.86965883],5.58
Armcx4,[ 0.1725965  25.6240782  45.19140023],[0.1725965  0.137623   0.23182987],[1.76363028 1.02519664 2.95473874],0.3
Arxes1,[0.06109733 0.57613126 3.91960519],[0.06109733 0.01087161 0.12963067],[6.80331978        nan        nan],0.38
Atp6ap2,[  1.41112476  28.10897393 104.29118548],[1.34056852 1.04864401 1.75775056],[3.7102452  2.81789378 5.85660569],4.99
